image_path,alarme,weapon_detection_best_status,weapon_detection_best_detections,weapon_detection_best2_status,weapon_detection_best2_detections,weapon_detection_model_status,weapon_detection_model_detections,weapon_detection_EffientNet_status,weapon_detection_EffientNet_detections,emotion_recognition_deepface_status,emotion_recognition_deepface_emotions,emotion_recognition_fer_status,emotion_recognition_fer_emotions,environment_detection_violenceEnvironment_detection_status,environment_detection_violenceEnvironment_detection_detections
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\4942_jpg.rf.de116405a8b49ebe0f42651030aaf50f.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9636054039001465}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'fear', 'confidence': 80.23669601897574}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5019_jpg.rf.0612e3489690cda37c2dc67872d6a93a.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9781635403633118}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.6795491576194763}, {'label': 'Pistol', 'confidence': 0.6199876666069031}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.93597865867869}",success,"{'emotion': 'neutral', 'confidence': 0.34}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5019_jpg.rf.c22cc0d4394f5aa8e61b30a2d9463364.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7346361875534058}]",success,"[{'label': 'gun', 'confidence': 0.7032393217086792}]",success,"[{'label': 'Pistol', 'confidence': 0.7903854846954346}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.99101757949695}",success,"{'emotion': 'neutral', 'confidence': 0.56}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5019_jpg.rf.d61ca77a366d3df72f24e760a27f9c6f.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9793114066123962}]",success,"[{'label': 'gun', 'confidence': 0.7032582759857178}]",success,"[{'label': 'Pistol', 'confidence': 0.7225551009178162}, {'label': 'Pistol', 'confidence': 0.5527926087379456}]",success,"[{'label': 'weapon', 'confidence': 0.9733632206916809, 'bounding_box': {'x1': 122, 'y1': 316, 'x2': 356, 'y2': 108}}]",success,"{'emotion': 'sad', 'confidence': 99.97833371162415}",success,"{'emotion': 'neutral', 'confidence': 0.67}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5019_jpg.rf.f2f424d1e0f9a65e39dde90c3ab06979.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7346361875534058}]",success,"[{'label': 'gun', 'confidence': 0.7032393217086792}]",success,"[{'label': 'Pistol', 'confidence': 0.7903854846954346}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.99101757949695}",success,"{'emotion': 'neutral', 'confidence': 0.56}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5182_jpg.rf.9a4c58ad018bf9d99c12b385aa4645a3.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7544466853141785}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9042285680770874, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'sad', 'confidence': 50.050199031829834}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5182_jpg.rf.b890b909b7aeee2e8490fdec62615959.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9843364953994751}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'angry', 'confidence': 60.892510414123535}",success,"{'emotion': 'neutral', 'confidence': 0.66}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5182_jpg.rf.f7f8dceaf1bb8c82105ee9db9cf42850.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9773799777030945}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 54.07293390358282}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5653_jpg.rf.6528064cbc7a7d5b015f11de9df2fe11.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7430761456489563}, {'label': 'guns', 'confidence': 0.564330518245697}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9997807145118713, 'bounding_box': {'x1': 122, 'y1': 316, 'x2': 356, 'y2': 108}}]",success,"{'emotion': 'neutral', 'confidence': 92.76677923004503}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5653_jpg.rf.b2efaf5a7112735df328d1ce8de83d68.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9578267335891724}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'neutral', 'confidence': 99.91559982299805}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5653_jpg.rf.f774225c7bcf4f0c38fd93eefa7468f7.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9720997214317322}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.9502956837592}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\5730_jpg.rf.44859060dc55f38b00e60e8556843707.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9614869356155396}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'happy', 'confidence': 92.168527841568}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\619_jpg.rf.34c7e980fa2a5739595d0983eb0124fd.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7450218796730042}, {'label': 'guns', 'confidence': 0.6248675584793091}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'fear', 'confidence': 79.37929630279541}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,"[{'label': 'violence', 'confidence': 0.7186206579208374, 'bounding_box': {'x1': 64, 'y1': 195, 'x2': 530, 'y2': 638}}]"
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\6_22_1_0001436_jpg.rf.54a1f6de3fdab7465a0abe3dab723aa0.jpg,1,success,"[{'label': 'knife', 'confidence': 0.5986695885658264}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'angry', 'confidence': 46.14481031894684}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\6_22_1_0001816_jpg.rf.9b5f500ace6206ba113f71cbbba3a73f.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'surprise', 'confidence': 99.91193413734436}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\7872_jpg.rf.05d28eef936325091624e143b630132a.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'fear', 'confidence': 99.67155460458343}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\7_7_asd_00141010_jpg.rf.91f16c85c24ce4a491484d5fe998a4b0.jpg,1,success,"[{'label': 'guns', 'confidence': 0.6587496399879456}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.7416852116584778}]",success,"[{'label': 'weapon', 'confidence': 0.9595878720283508, 'bounding_box': {'x1': 154, 'y1': 387, 'x2': 234, 'y2': 424}}]",success,"{'emotion': 'fear', 'confidence': 99.8577356338501}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\84_Arma_jpg.rf.27286c2a18294a6f48817af02e71cf2c.jpg,1,success,[],success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9853058457374573, 'bounding_box': {'x1': 184, 'y1': 208, 'x2': 540, 'y2': 316}}]",success,"{'emotion': 'angry', 'confidence': 96.54088595753228}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas-1858-_jpg.rf.bd2692c90f299d5a78b5269e530af540.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 98.8739372642115}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas-2864-_jpg.rf.38ba1914821ad275cbbe11762f39f319.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8331634402275085}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.997118353843689, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'sad', 'confidence': 76.211695445281}",success,"{'emotion': 'happy', 'confidence': 0.4}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas_1110_jpg.rf.9ac49dbc65eb5f9de81eeef273909673.jpg,1,success,"[{'label': 'guns', 'confidence': 0.658726692199707}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.991378664970398, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'neutral', 'confidence': 99.5487630367279}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,"[{'label': 'violence', 'confidence': 0.5224024057388306, 'bounding_box': {'x1': 53, 'y1': 1, 'x2': 639, 'y2': 637}}]"
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas_1949_jpg.rf.916ea6242c81541a57707c1fa31735fa.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8323733806610107}]",success,"[{'label': 'gun', 'confidence': 0.6310282349586487}]",success,"[{'label': 'Pistol', 'confidence': 0.8309127688407898}, {'label': 'Knife', 'confidence': 0.6322742104530334}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'fear', 'confidence': 89.36446905136108}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas_2031_jpg.rf.d112985aa3b2c7e1a3397171daf84321.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7653289437294006}, {'label': 'guns', 'confidence': 0.5304250121116638}]",success,"[{'label': 'gun', 'confidence': 0.5153111219406128}]",success,"[{'label': 'Pistol', 'confidence': 0.6952992081642151}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.92739559085422}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas_2869_jpg.rf.b0afb9c5b88683482163dd3bda72f4ae.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8129107356071472}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'happy', 'confidence': 74.38150644302368}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armas_2885_jpg.rf.cedd62b01611da41c6fae7443880885e.jpg,1,success,"[{'label': 'guns', 'confidence': 0.580515444278717}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9910247325897217, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'sad', 'confidence': 99.99892711639404}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_005_jpg.rf.a0936bbf3fd84faf04250c02375c73a3.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8193287253379822}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.7777328491210938}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 96.38674855232239}",success,"{'emotion': 'neutral', 'confidence': 0.43}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_007_jpg.rf.afe9410f34f54c76ec00316690c6bcfa.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7878171801567078}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.8444321155548096}]",success,"[{'label': 'weapon', 'confidence': 0.9951321482658386, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'neutral', 'confidence': 60.935977753161055}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_042_jpg.rf.4f227a89089767aea2ee343b9731f925.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 54.26555871963501}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,"[{'label': 'violence', 'confidence': 0.6110066175460815, 'bounding_box': {'x1': 122, 'y1': 21, 'x2': 627, 'y2': 606}}]"
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_062_jpg.rf.39bf1238360ebad1d9e091781d444c5d.jpg,1,success,[],success,[],success,"[{'label': 'rifle', 'confidence': 0.701114296913147}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'angry', 'confidence': 99.86833333184322}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_063_jpg.rf.fada7324750e4496189f7341040f2cb6.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 56.953729027954225}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_167_jpg.rf.86b23637f9c2139abd1b5bf132c2e24b.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'angry', 'confidence': 60.68849563598633}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\armaX_176_jpg.rf.fa9a3639d2681325154a17d903cab2e2.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8140855431556702}]",success,"[{'label': 'gun', 'confidence': 0.5243010520935059}]",success,"[{'label': 'Pistol', 'confidence': 0.8286622762680054}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'happy', 'confidence': 88.26639652252197}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\Asalto_15_0021_jpg.rf.96786ea2fa509d401aa76561a36bd67b.jpg,1,success,[],success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 66.28187700726068}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\Asalto_3_0004_jpg.rf.4fb2eba3a1af2746ea256a69714404db.jpg,1,success,[],success,[],success,"[{'label': 'rifle', 'confidence': 0.5890311598777771}]",success,"[{'label': 'weapon', 'confidence': 0.9421614408493042, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'fear', 'confidence': 98.4255729228941}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\augmented_02604_png_jpg.rf.4efc0bacd0e5d1996f3a450db0026149.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7877947092056274}]",success,"[{'label': 'gun', 'confidence': 0.5523842573165894}]",success,"[{'label': 'handgun', 'confidence': 0.7030103802680969}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 65.74096083641052}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
